rate_date,currency,currency_symbol,rate_to_inr,source
2026-08-03,US Dollar,$,95.4836,Exchange Rate API
2026-08-02,US Dollar,$,96.0175,Exchange Rate API
2026-08-01,US Dollar,$,96.0864,Exchange Rate API
2026-07-31,US Dollar,$,96.056,Exchange Rate API
2026-07-30,US Dollar,$,96.0828,Exchange Rate API
2026-07-29,US Dollar,$,96.3914,Exchange Rate API
2026-07-28,US Dollar,$,96.9566,Exchange Rate API
2026-07-27,US Dollar,$,96.8642,Exchange Rate API
2026-07-26,US Dollar,$,96.5514,Exchange Rate API
2026-07-25,US Dollar,$,96.4062,Exchange Rate API
2026-07-24,US Dollar,$,95.9061,Exchange Rate API
2026-07-23,US Dollar,$,96.0709,Exchange Rate API
2026-07-22,US Dollar,$,96.6388,Exchange Rate API
2026-07-21,US Dollar,$,96.2993,Exchange Rate API
2026-07-20,US Dollar,$,96.5987,Exchange Rate API
2026-07-19,US Dollar,$,96.2636,Exchange Rate API
2026-07-18,US Dollar,$,96.7599,Exchange Rate API
2026-07-17,US Dollar,$,96.8261,Exchange Rate API
2026-07-16,US Dollar,$,96.6921,Exchange Rate API
2026-07-15,US Dollar,$,96.1472,Exchange Rate API
2026-07-14,US Dollar,$,95.7499,Exchange Rate API
2026-07-13,US Dollar,$,96.2117,Exchange Rate API
2026-07-12,US Dollar,$,95.8498,Exchange Rate API
2026-07-11,US Dollar,$,95.982,Exchange Rate API
2026-07-10,US Dollar,$,96.0496,Exchange Rate API
2026-07-09,US Dollar,$,95.9852,Exchange Rate API
2026-07-08,US Dollar,$,96.2312,Exchange Rate API
2026-07-07,US Dollar,$,95.7989,Exchange Rate API
2026-07-06,US Dollar,$,95.9952,Exchange Rate API
2026-07-05,US Dollar,$,95.4922,Exchange Rate API
2026-07-04,US Dollar,$,95.1651,Exchange Rate API
2026-07-03,US Dollar,$,95.3651,Exchange Rate API
2026-07-02,US Dollar,$,95.0104,Exchange Rate API
2026-07-01,US Dollar,$,94.5943,Exchange Rate API
2026-06-30,US Dollar,$,94.5907,Exchange Rate API
2026-06-29,US Dollar,$,94.7496,Exchange Rate API
2026-06-28,US Dollar,$,94.1871,Exchange Rate API
2026-06-27,US Dollar,$,94.3845,Exchange Rate API
2026-06-26,US Dollar,$,94.4789,Exchange Rate API
2026-06-25,US Dollar,$,93.9129,Exchange Rate API
2026-06-24,US Dollar,$,93.9894,Exchange Rate API
2026-06-23,US Dollar,$,93.4266,Exchange Rate API
2026-06-22,US Dollar,$,93.4877,Exchange Rate API
2026-06-21,US Dollar,$,93.6112,Exchange Rate API
2026-06-20,US Dollar,$,93.4821,Exchange Rate API
2026-06-19,US Dollar,$,93.3246,Exchange Rate API
2026-06-18,US Dollar,$,93.6528,Exchange Rate API
2026-06-17,US Dollar,$,93.3087,Exchange Rate API
2026-06-16,US Dollar,$,93.2691,Exchange Rate API
2026-06-15,US Dollar,$,93.2682,Exchange Rate API
2026-06-14,US Dollar,$,92.7579,Exchange Rate API
2026-06-13,US Dollar,$,93.202,Exchange Rate API
2026-06-12,US Dollar,$,92.8449,Exchange Rate API
2026-06-11,US Dollar,$,93.1691,Exchange Rate API
2026-06-10,US Dollar,$,93.1328,Exchange Rate API
2026-06-09,US Dollar,$,92.5848,Exchange Rate API
2026-06-08,US Dollar,$,92.3655,Exchange Rate API
2026-06-07,US Dollar,$,92.4572,Exchange Rate API
2026-06-06,US Dollar,$,92.414,Exchange Rate API
2026-06-05,US Dollar,$,92.8706,Exchange Rate API
2026-06-04,US Dollar,$,92.3466,Exchange Rate API
