loan_id,customer_id,loan_type,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,disbursement_date,created_at,updated_at,source_system
LN00002751,CUST00006502,Gold Loan,1410395.89,11.95,36,46811.65,Active,2026-01-07,2026-08-03 12:23:34.037373,,Loan Management System
LN00002752,CUST00006074,Car Loan,2806710.48,14.63,24,135595.1,Active,2021-02-09,2026-08-03 12:23:34.037373,,Loan Management System
LN00002753,CUST00006227,Home Loan,6610589.17,17.91,166,107887.37,Active,2011-10-13,2026-08-03 12:23:34.037373,,Loan Management System
LN00002754,CUST00006399,Car Loan,352402.94,13.19,29,14257.4,Active,2019-08-24,2026-08-03 12:23:34.037373,,Loan Management System
LN00002755,CUST00006281,Home Loan,1978502.3,16.87,155,31424.49,Active,2022-09-12,2026-08-03 12:23:34.038373,,Loan Management System
LN00002756,CUST00006236,Home Loan,2578047.46,8.62,257,22017.41,Active,2020-06-27,2026-08-03 12:23:34.038373,,Loan Management System
LN00002757,CUST00006034,Car Loan,377434.48,8.97,35,12295.97,Active,2016-09-16,2026-08-03 12:23:34.038373,,Loan Management System
LN00002758,CUST00006347,Home Loan,5219939.85,13.86,62,118370.35,Closed,2024-08-24,2026-08-03 12:23:34.038373,,Loan Management System
LN00002759,CUST00006102,Home Loan,4006486.14,16.54,60,98583.23,Active,2020-10-26,2026-08-03 12:23:34.038373,,Loan Management System
LN00002760,CUST00006470,Home Loan,5232919.34,14.29,303,64089.59,Closed,2018-09-28,2026-08-03 12:23:34.039382,,Loan Management System
LN00002761,CUST00006252,Home Loan,4914147.48,12.24,82,88732.4,Closed,2023-08-15,2026-08-03 12:23:34.039382,,Loan Management System
LN00002762,CUST00006486,Home Loan,3763977.0,14.52,133,57070.61,Active,2015-07-07,2026-08-03 12:23:34.039382,,Loan Management System
LN00002763,CUST00006026,Personal Loan,895019.97,11.8,20,49514.62,Active,2013-03-12,2026-08-03 12:23:34.039975,,Loan Management System
LN00002764,CUST00006388,Business Loan,17325815.87,8.37,77,291582.54,Active,2017-12-17,2026-08-03 12:23:34.039975,,Loan Management System
LN00002765,CUST00006266,Gold Loan,2137971.99,16.14,28,92140.71,Active,2022-02-07,2026-08-03 12:23:34.039975,,Loan Management System
LN00002766,CUST00006746,Home Loan,5088194.37,15.07,214,68649.84,Closed,2012-09-26,2026-08-03 12:23:34.039975,,Loan Management System
LN00002767,CUST00006435,Home Loan,7104434.13,11.23,144,90027.58,Closed,2017-04-29,2026-08-03 12:23:34.039975,,Loan Management System
LN00002768,CUST00006014,Car Loan,1797014.82,12.51,14,138619.64,Active,2022-07-12,2026-08-03 12:23:34.039975,,Loan Management System
LN00002769,CUST00006746,Car Loan,1561402.58,7.73,29,59199.7,Active,2015-12-07,2026-08-03 12:23:34.039975,,Loan Management System
LN00002770,CUST00006487,Business Loan,19140262.26,15.35,84,373113.48,Closed,2021-05-07,2026-08-03 12:23:34.041068,,Loan Management System
LN00002771,CUST00006027,Business Loan,19721054.18,11.16,104,296700.62,Defaulted,2015-02-10,2026-08-03 12:23:34.041068,,Loan Management System
LN00002772,CUST00006716,Home Loan,6112872.39,15.14,128,96516.52,Active,2011-12-20,2026-08-03 12:23:34.041068,,Loan Management System
LN00002773,CUST00006621,Gold Loan,1850919.02,7.79,17,115348.5,Active,2024-07-01,2026-08-03 12:23:34.041068,,Loan Management System
LN00002774,CUST00006364,Gold Loan,1796130.93,8.73,18,106823.04,Pending,2021-04-30,2026-08-03 12:23:34.041068,,Loan Management System
LN00002775,CUST00006671,Personal Loan,1294039.98,13.45,17,84026.7,Pending,2015-03-05,2026-08-03 12:23:34.042074,,Loan Management System
