repayment_id,loan_id,payment_date,amount_paid,payment_mode,created_at,updated_at,source_system
RP00038501,LN00002763,2013-04-12,42516.64,MOBILE BANKING,2026-08-03 12:23:34.047845,,Loan Management System
RP00038502,LN00002763,2013-05-12,49514.62,MOBILE BANKING,2026-08-03 12:23:34.047845,,Loan Management System
RP00038503,LN00002763,2013-06-12,49514.62,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038504,LN00002763,2013-07-12,51161.26,AUTO DEBIT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038505,LN00002763,2013-08-12,29948.41,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038506,LN00002763,2013-09-12,49514.62,UPI,2026-08-03 12:23:34.047845,,Loan Management System
RP00038507,LN00002763,2013-10-12,49514.62,NEFT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038508,LN00002763,2013-11-12,49514.62,CASH,2026-08-03 12:23:34.047845,,Loan Management System
RP00038509,LN00002763,2013-12-12,49514.62,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038510,LN00002763,2014-01-12,49514.62,AUTO DEBIT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038511,LN00002763,2014-02-12,49514.62,AUTO DEBIT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038512,LN00002763,2014-03-12,49514.62,MOBILE BANKING,2026-08-03 12:23:34.047845,,Loan Management System
RP00038513,LN00002763,2014-04-12,49514.62,CASH,2026-08-03 12:23:34.047845,,Loan Management System
RP00038514,LN00002763,2014-05-12,49514.62,AUTO DEBIT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038515,LN00002763,2014-06-12,26471.88,IMPS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038516,LN00002763,2014-07-12,49514.62,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038517,LN00002763,2014-08-12,49514.62,CASH,2026-08-03 12:23:34.047845,,Loan Management System
RP00038518,LN00002763,2014-09-12,49514.62,UPI,2026-08-03 12:23:34.047845,,Loan Management System
RP00038519,LN00002763,2014-10-12,49514.62,NEFT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038520,LN00002763,2014-11-12,49514.62,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038521,LN00002767,2017-05-29,90027.58,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038522,LN00002767,2017-06-29,90027.58,AUTO DEBIT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038523,LN00002767,2017-07-29,93600.24,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038524,LN00002767,2017-08-29,90027.58,CASH,2026-08-03 12:23:34.047845,,Loan Management System
RP00038525,LN00002767,2017-09-29,90027.58,NET BANKING,2026-08-03 12:23:34.047845,,Loan Management System
RP00038526,LN00002767,2017-10-29,90027.58,IMPS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038527,LN00002767,2017-11-29,90027.58,AUTO DEBIT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038528,LN00002767,2017-12-29,90027.58,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038529,LN00002767,2018-01-29,90027.58,UPI,2026-08-03 12:23:34.047845,,Loan Management System
RP00038530,LN00002767,2018-02-28,92738.27,RTGS,2026-08-03 12:23:34.047845,,Loan Management System
RP00038531,LN00002767,2018-03-29,90027.58,UPI,2026-08-03 12:23:34.047845,,Loan Management System
RP00038532,LN00002767,2018-04-29,90027.58,NEFT,2026-08-03 12:23:34.047845,,Loan Management System
RP00038533,LN00002767,2018-05-29,90027.58,CASH,2026-08-03 12:23:34.047845,,Loan Management System
RP00038534,LN00002767,2018-06-29,91335.87,UPI,2026-08-03 12:23:34.047845,,Loan Management System
RP00038535,LN00002767,2018-07-29,90027.58,MOBILE BANKING,2026-08-03 12:23:34.047845,,Loan Management System
RP00038536,LN00002767,2018-08-29,90027.58,UPI,2026-08-03 12:23:34.047845,,Loan Management System
