application_id,customer_id,loan_id,application_date,requested_amount,approval_status,created_at,updated_at,source_system
APP00000001,CUST00000600,,2022-11-21,1927035.39,Rejected,2026-08-03 11:22:39.865894,,Loan Management System
APP00000002,CUST00004992,,2022-12-15,3827106.86,Cancelled,2026-08-03 11:22:39.865894,,Loan Management System
APP00000003,CUST00004354,LN00000894,2017-03-08,1494030.14,Approved,2026-08-03 11:22:39.865894,,Loan Management System
APP00000004,CUST00000869,,2020-06-28,843234.66,Rejected,2026-08-03 11:22:39.865894,,Loan Management System
APP00000005,CUST00002350,LN00001987,2024-06-26,2634168.16,Approved,2026-08-03 11:22:39.865894,,Loan Management System
APP00000006,CUST00000969,LN00000563,2018-06-13,9056475.16,Approved,2026-08-03 11:22:39.865894,,Loan Management System
APP00000007,CUST00004515,LN00001511,2023-07-14,987033.39,Approved,2026-08-03 11:22:39.865894,,Loan Management System
APP00000008,CUST00003687,,2020-11-03,377988.4,Rejected,2026-08-03 11:22:39.866894,,Loan Management System
APP00000009,CUST00000042,,2020-03-20,1161535.27,Pending,2026-08-03 11:22:39.866894,,Loan Management System
APP00000010,CUST00000100,,2024-12-18,1596848.25,Rejected,2026-08-03 11:22:39.866894,,Loan Management System
APP00000011,CUST00002487,LN00000157,2015-04-16,2030223.41,Approved,2026-08-03 11:22:39.866894,,Loan Management System
APP00000012,CUST00003945,,2021-01-05,2444686.64,Cancelled,2026-08-03 11:22:39.867895,,Loan Management System
APP00000013,CUST00001154,LN00001583,2016-06-15,3378576.41,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000014,CUST00003699,LN00001581,2017-08-16,162639.17,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000015,CUST00003690,LN00000687,2016-06-03,1358573.47,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000016,CUST00000310,LN00001879,2020-01-13,2176112.74,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000017,CUST00001676,LN00001793,2024-09-10,2074050.62,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000018,CUST00002552,LN00001674,2020-12-31,2964218.77,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000019,CUST00001357,LN00000816,2014-02-02,986562.15,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000020,CUST00001695,LN00000024,2011-11-15,499305.2,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000021,CUST00003242,LN00001831,2024-09-30,269204.15,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000022,CUST00004907,,2024-12-31,2793148.61,Pending,2026-08-03 11:22:39.867895,,Loan Management System
APP00000023,CUST00000316,,2012-09-25,3278737.26,Pending,2026-08-03 11:22:39.867895,,Loan Management System
APP00000024,CUST00000191,LN00001371,2013-07-04,2237999.89,Approved,2026-08-03 11:22:39.867895,,Loan Management System
APP00000025,CUST00000452,,2015-09-09,531033.93,Pending,2026-08-03 11:22:39.868895,,Loan Management System
APP00000026,CUST00000767,LN00001627,2016-11-02,165312.98,Approved,2026-08-03 11:22:39.868895,,Loan Management System
APP00000027,CUST00001107,LN00002144,2025-05-18,3179329.67,Approved,2026-08-03 11:22:39.868895,,Loan Management System
APP00000028,CUST00003496,LN00001242,2021-09-10,1309651.21,Approved,2026-08-03 11:22:39.868895,,Loan Management System
APP00000029,CUST00004786,,2024-02-04,881060.45,Rejected,2026-08-03 11:22:39.868895,,Loan Management System
APP00000030,CUST00001910,,2024-06-16,645737.6,Rejected,2026-08-03 11:22:39.868895,,Loan Management System
APP00000031,CUST00001174,LN00001193,2016-01-03,1307654.89,Approved,2026-08-03 11:22:39.868895,,Loan Management System
APP00000032,CUST00002776,LN00000414,2022-12-09,5687876.02,Approved,2026-08-03 11:22:39.868895,,Loan Management System
APP00000033,CUST00003235,,2012-05-04,1925439.36,Rejected,2026-08-03 11:22:39.869894,,Loan Management System
APP00000034,CUST00003065,LN00000206,2020-02-25,959475.15,Approved,2026-08-03 11:22:39.869894,,Loan Management System
APP00000035,CUST00001987,,2020-11-15,1628725.16,Rejected,2026-08-03 11:22:39.869894,,Loan Management System
APP00000036,CUST00003629,,2017-05-06,4976477.34,Cancelled,2026-08-03 11:22:39.869894,,Loan Management System
APP00000037,CUST00004598,,2025-06-04,2954362.98,Pending,2026-08-03 11:22:39.869894,,Loan Management System
APP00000038,CUST00004320,LN00001538,2021-10-31,2102920.22,Approved,2026-08-03 11:22:39.869894,,Loan Management System
APP00000039,CUST00000388,,2025-09-17,2064963.05,Rejected,2026-08-03 11:22:39.870894,,Loan Management System
APP00000040,CUST00001407,LN00000039,2024-06-14,1226109.85,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000041,CUST00002152,LN00000967,2023-03-11,2702795.79,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000042,CUST00001961,,2022-05-02,9887754.35,Cancelled,2026-08-03 11:22:39.870894,,Loan Management System
APP00000043,CUST00001801,LN00000336,2014-09-13,10440395.52,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000044,CUST00001782,LN00001259,2012-10-27,2422016.98,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000045,CUST00003443,LN00001836,2019-02-17,59434.03,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000046,CUST00000051,LN00000014,2013-01-07,1811746.47,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000047,CUST00002676,LN00001067,2018-04-22,7616160.27,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000048,CUST00002067,,2016-07-30,588124.81,Rejected,2026-08-03 11:22:39.870894,,Loan Management System
APP00000049,CUST00004432,LN00000489,2016-04-06,1302210.17,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000050,CUST00002510,LN00001897,2018-06-21,10519764.57,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000051,CUST00002410,LN00002355,2022-12-22,272838.02,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000052,CUST00004779,LN00000849,2024-02-24,1033064.95,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000053,CUST00004457,LN00001584,2023-05-26,8404224.73,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000054,CUST00002915,LN00001185,2012-07-11,376681.37,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000055,CUST00003249,LN00001660,2025-03-30,808419.85,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000056,CUST00001779,LN00001699,2022-01-22,3697384.78,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000057,CUST00004972,,2025-06-16,3247166.87,Rejected,2026-08-03 11:22:39.870894,,Loan Management System
APP00000058,CUST00002887,LN00002306,2018-10-06,5190474.8,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000059,CUST00003634,LN00000076,2023-07-13,1768874.97,Approved,2026-08-03 11:22:39.870894,,Loan Management System
APP00000060,CUST00002016,LN00000582,2026-04-28,530428.27,Approved,2026-08-03 11:22:39.872403,,Loan Management System
APP00000061,CUST00003012,LN00002277,2022-09-19,3596112.96,Approved,2026-08-03 11:22:39.872403,,Loan Management System
APP00000062,CUST00000343,LN00000375,2024-10-22,5378690.58,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000063,CUST00001946,LN00001646,2017-09-19,8799358.83,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000064,CUST00004534,LN00002068,2011-08-23,2644507.86,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000065,CUST00003249,,2026-04-03,816877.22,Rejected,2026-08-03 11:22:39.872471,,Loan Management System
APP00000066,CUST00003914,LN00002368,2016-09-10,1118002.5,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000067,CUST00003186,LN00000483,2013-06-21,2465772.5,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000068,CUST00004008,LN00001358,2015-07-24,2008845.45,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000069,CUST00001939,LN00000650,2017-08-25,3169492.06,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000070,CUST00002940,LN00001649,2016-02-26,10240213.49,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000071,CUST00002168,LN00001250,2023-04-04,2607823.96,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000072,CUST00000729,LN00001687,2022-12-17,328291.87,Approved,2026-08-03 11:22:39.872471,,Loan Management System
APP00000073,CUST00000570,,2024-03-25,1290765.39,Pending,2026-08-03 11:22:39.873422,,Loan Management System
APP00000074,CUST00002517,,2019-01-25,2667484.85,Rejected,2026-08-03 11:22:39.873422,,Loan Management System
APP00000075,CUST00003894,LN00001343,2024-06-13,6859419.96,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000076,CUST00004733,LN00001966,2025-03-30,1969077.89,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000077,CUST00004633,LN00000432,2015-11-27,1518515.08,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000078,CUST00002278,LN00000240,2019-10-26,246729.8,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000079,CUST00004621,,2023-05-12,17428610.33,Rejected,2026-08-03 11:22:39.873422,,Loan Management System
APP00000080,CUST00003193,LN00000440,2013-10-11,2178100.09,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000081,CUST00001117,LN00002159,2012-10-18,495411.96,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000082,CUST00002992,LN00001675,2017-10-11,1605660.18,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000083,CUST00002561,LN00002419,2019-03-03,223405.07,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000084,CUST00004175,LN00001366,2013-01-12,3054571.16,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000085,CUST00003888,LN00000717,2015-07-12,7294439.28,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000086,CUST00002741,LN00002367,2015-07-05,8112727.38,Approved,2026-08-03 11:22:39.873422,,Loan Management System
APP00000087,CUST00000099,,2018-11-29,6499610.64,Pending,2026-08-03 11:22:39.874413,,Loan Management System
APP00000088,CUST00002576,LN00000080,2015-06-16,603874.6,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000089,CUST00003823,LN00000170,2023-01-18,239098.69,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000090,CUST00002831,LN00000057,2021-10-31,2237128.88,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000091,CUST00001197,LN00001147,2013-06-08,4981213.11,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000092,CUST00000864,LN00001156,2012-06-01,6932593.49,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000093,CUST00003761,,2013-05-01,5832197.68,Rejected,2026-08-03 11:22:39.874413,,Loan Management System
APP00000094,CUST00001229,LN00002007,2017-11-02,82780.04,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000095,CUST00000124,LN00000180,2020-11-30,7351196.61,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000096,CUST00004435,LN00001870,2021-06-15,1288252.26,Approved,2026-08-03 11:22:39.874413,,Loan Management System
APP00000097,CUST00001782,,2016-10-19,4822048.75,Rejected,2026-08-03 11:22:39.874413,,Loan Management System
APP00000098,CUST00001297,LN00001148,2025-07-10,980817.6,Approved,2026-08-03 11:22:39.875413,,Loan Management System
APP00000099,CUST00000425,LN00001497,2012-03-11,6135300.56,Approved,2026-08-03 11:22:39.875413,,Loan Management System
APP00000100,CUST00000348,,2023-10-18,250161.72,Pending,2026-08-03 11:22:39.875413,,Loan Management System
APP00000101,CUST00000356,LN00000274,2015-05-10,1853159.77,Approved,2026-08-03 11:22:39.875413,,Loan Management System
APP00000102,CUST00000266,,2014-06-03,3723288.79,Pending,2026-08-03 11:22:39.875413,,Loan Management System
APP00000103,CUST00002601,,2023-04-28,11652004.17,Rejected,2026-08-03 11:22:39.875413,,Loan Management System
APP00000104,CUST00000711,,2019-02-20,4846541.12,Rejected,2026-08-03 11:22:39.876414,,Loan Management System
APP00000105,CUST00004798,LN00000451,2021-02-04,1333244.66,Approved,2026-08-03 11:22:39.876414,,Loan Management System
APP00000106,CUST00003797,,2019-03-12,1019226.73,Rejected,2026-08-03 11:22:39.876414,,Loan Management System
APP00000107,CUST00001278,LN00002342,2014-03-11,6003703.32,Approved,2026-08-03 11:22:39.876414,,Loan Management System
APP00000108,CUST00002350,,2023-12-14,108789.01,Pending,2026-08-03 11:22:39.876414,,Loan Management System
APP00000109,CUST00002606,,2026-05-22,1032021.88,Cancelled,2026-08-03 11:22:39.876414,,Loan Management System
APP00000110,CUST00001064,,2017-08-01,9607055.74,Pending,2026-08-03 11:22:39.877428,,Loan Management System
APP00000111,CUST00001546,,2022-01-17,1698721.38,Rejected,2026-08-03 11:22:39.877428,,Loan Management System
APP00000112,CUST00001089,,2018-12-26,163739.27,Rejected,2026-08-03 11:22:39.877428,,Loan Management System
APP00000113,CUST00003301,,2016-04-04,1991708.56,Rejected,2026-08-03 11:22:39.877428,,Loan Management System
APP00000114,CUST00003728,LN00001784,2024-06-13,998395.75,Approved,2026-08-03 11:22:39.878419,,Loan Management System
APP00000115,CUST00002062,LN00001375,2019-12-01,264005.67,Approved,2026-08-03 11:22:39.878419,,Loan Management System
APP00000116,CUST00002121,,2023-01-02,824430.51,Cancelled,2026-08-03 11:22:39.878419,,Loan Management System
APP00000117,CUST00004817,LN00000859,2019-10-15,2478229.69,Approved,2026-08-03 11:22:39.878419,,Loan Management System
APP00000118,CUST00003389,,2017-10-07,2286943.39,Rejected,2026-08-03 11:22:39.878419,,Loan Management System
