repayment_id,loan_id,payment_date,amount_paid,payment_mode,created_at,updated_at,source_system
RP00000001,LN00000366,2015-04-23,21723.06,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000002,LN00000366,2015-05-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000003,LN00000366,2015-06-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000004,LN00000366,2015-07-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000005,LN00000366,2015-08-23,24906.15,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000006,LN00000366,2015-09-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000007,LN00000366,2015-10-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000008,LN00000366,2015-11-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000009,LN00000366,2015-12-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000010,LN00000366,2016-01-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000011,LN00000366,2016-02-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000012,LN00000366,2016-03-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000013,LN00000366,2016-04-23,41120.31,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000014,LN00000366,2016-05-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000015,LN00000366,2016-06-23,40052.47,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000016,LN00000366,2016-07-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000017,LN00000366,2016-08-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000018,LN00000366,2016-09-23,28451.52,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000019,LN00000366,2016-10-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000020,LN00000366,2016-11-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000021,LN00000366,2016-12-23,41549.43,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000022,LN00000366,2017-01-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000023,LN00000366,2017-02-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000024,LN00000366,2017-03-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000025,LN00000366,2017-04-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000026,LN00000366,2017-05-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000027,LN00000366,2017-06-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000028,LN00000366,2017-07-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000029,LN00000366,2017-08-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000030,LN00000366,2017-09-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000031,LN00000366,2017-10-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000032,LN00000366,2017-11-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000033,LN00000366,2017-12-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000034,LN00000366,2018-01-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000035,LN00000366,2018-02-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000036,LN00000366,2018-03-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000037,LN00000366,2018-04-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000038,LN00000366,2018-05-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000039,LN00000366,2018-06-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000040,LN00000366,2018-07-23,40052.47,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000041,LN00000366,2018-08-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000042,LN00000366,2018-09-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000043,LN00000366,2018-10-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000044,LN00000366,2018-11-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000045,LN00000366,2018-12-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000046,LN00000366,2019-01-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000047,LN00000366,2019-02-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000048,LN00000366,2019-03-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000049,LN00000366,2019-04-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000050,LN00000366,2019-05-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000051,LN00000366,2019-06-23,40052.47,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000052,LN00000366,2019-07-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000053,LN00000366,2019-08-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000054,LN00000366,2019-09-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000055,LN00000366,2019-10-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000056,LN00000366,2019-11-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000057,LN00000366,2019-12-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000058,LN00000366,2020-01-23,40052.47,RTGS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000059,LN00000366,2020-02-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000060,LN00000366,2020-03-23,40052.47,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000061,LN00000366,2020-04-23,40052.47,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000062,LN00000366,2020-05-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000063,LN00000366,2020-06-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000064,LN00000366,2020-07-23,40052.47,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000065,LN00000366,2020-08-23,40052.47,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000066,LN00000366,2020-09-23,40052.47,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000067,LN00000366,2020-10-23,40052.47,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000068,LN00000366,2020-11-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000069,LN00000366,2020-12-23,40052.47,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000070,LN00000366,2021-01-23,40052.47,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000071,LN00000366,2021-02-23,40052.47,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000072,LN00000366,2021-03-23,40052.47,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000073,LN00000366,2021-04-23,40052.47,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000074,LN00001661,2013-08-18,86699.31,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000075,LN00001661,2013-09-18,86699.31,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000076,LN00001661,2013-10-18,86699.31,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000077,LN00001661,2013-11-18,86699.31,CHEQUE,2026-08-03 11:22:40.340748,,Loan Management System
RP00000078,LN00001661,2013-12-18,86699.31,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000079,LN00001661,2014-01-18,86699.31,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000080,LN00001661,2014-02-18,86699.31,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000081,LN00001661,2014-03-18,90131.12,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000082,LN00001661,2014-04-18,86699.31,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000083,LN00001661,2014-05-18,89056.49,MOBILE BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000084,LN00001661,2014-06-18,86699.31,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000085,LN00001661,2014-07-18,86699.31,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000086,LN00001661,2014-08-18,86699.31,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000087,LN00001661,2014-09-18,86699.31,UPI,2026-08-03 11:22:40.340748,,Loan Management System
RP00000088,LN00001661,2014-10-18,77157.32,AUTO DEBIT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000089,LN00001661,2014-11-18,86699.31,NEFT,2026-08-03 11:22:40.340748,,Loan Management System
RP00000090,LN00001661,2014-12-18,86699.31,NET BANKING,2026-08-03 11:22:40.340748,,Loan Management System
RP00000091,LN00001661,2015-01-18,46501.79,IMPS,2026-08-03 11:22:40.340748,,Loan Management System
RP00000092,LN00001661,2015-02-18,86699.31,CASH,2026-08-03 11:22:40.340748,,Loan Management System
RP00000093,LN00001661,2015-03-18,86699.31,NET BANKING,2026-08-03 11:22:40.342358,,Loan Management System
RP00000094,LN00001661,2015-04-18,86699.31,AUTO DEBIT,2026-08-03 11:22:40.342358,,Loan Management System
RP00000095,LN00001661,2015-05-18,86699.31,CHEQUE,2026-08-03 11:22:40.342358,,Loan Management System
RP00000096,LN00001661,2015-06-18,86699.31,CHEQUE,2026-08-03 11:22:40.342358,,Loan Management System
RP00000097,LN00001661,2015-07-18,86699.31,CHEQUE,2026-08-03 11:22:40.342358,,Loan Management System
RP00000098,LN00001661,2015-08-18,86699.31,MOBILE BANKING,2026-08-03 11:22:40.342358,,Loan Management System
RP00000099,LN00001661,2015-09-18,86699.31,UPI,2026-08-03 11:22:40.342358,,Loan Management System
RP00000100,LN00001098,2014-10-26,347882.81,AUTO DEBIT,2026-08-03 11:22:40.342358,,Loan Management System
RP00000101,LN00001098,2014-11-26,347882.81,CASH,2026-08-03 11:22:40.342358,,Loan Management System
RP00000102,LN00001098,2014-12-26,347882.81,RTGS,2026-08-03 11:22:40.342358,,Loan Management System
RP00000103,LN00001098,2015-01-26,347882.81,IMPS,2026-08-03 11:22:40.342358,,Loan Management System
RP00000104,LN00001098,2015-02-26,356481.6,AUTO DEBIT,2026-08-03 11:22:40.342358,,Loan Management System
RP00000105,LN00001098,2015-03-26,347882.81,CHEQUE,2026-08-03 11:22:40.342358,,Loan Management System
RP00000106,LN00001098,2015-04-26,347882.81,CASH,2026-08-03 11:22:40.342358,,Loan Management System
RP00000107,LN00001098,2015-05-26,347882.81,UPI,2026-08-03 11:22:40.342358,,Loan Management System
RP00000108,LN00001098,2015-06-26,347882.81,AUTO DEBIT,2026-08-03 11:22:40.342358,,Loan Management System
RP00000109,LN00001098,2015-07-26,347882.81,IMPS,2026-08-03 11:22:40.342358,,Loan Management System
