merchant_id,merchant_name,merchant_category,merchant_type,merchant_city,merchant_state,merchant_country,merchant_status,accepts_upi,accepts_cards,average_ticket_size,onboarding_date,created_at,updated_at,source_system
MER00000001,Shree Choudhury Arcade,Entertainment,Local,Y.S.R.,ANDHRA PRADESH,India,Active,Yes,Yes,7169.78,2012-01-05,2026-08-03 11:19:40.464320,,Enterprise System
MER00000002,Prime Maharaj Store,Retail,Local,CHENGALPATTU,TAMIL NADU,India,Active,Yes,Yes,5371.52,2015-10-02,2026-08-03 11:19:40.465324,,Enterprise System
MER00000003,Om Kapoor Multiplex,Entertainment,Local,SUNDARGARH,ODISHA,India,Active,Yes,Yes,6504.81,2013-12-17,2026-08-03 11:19:40.465324,,Enterprise System
MER00000004,Modern Chaudry Institute,Education,Local,KOREA,CHHATTISGARH,India,Inactive,Yes,Yes,28695.51,2023-02-05,2026-08-03 11:19:40.466324,,Enterprise System
MER00000005,National Chahal Online,E-Commerce,Regional,BHOPAL,MADHYA PRADESH,India,Active,No,Yes,27736.42,2021-08-19,2026-08-03 11:19:40.466324,,Enterprise System
MER00000006,Modern Sami Digital,E-Commerce,Local,SUNDARGARH,ODISHA,India,Active,Yes,Yes,49265.51,2012-02-16,2026-08-03 11:19:40.466324,,Enterprise System
MER00000007,Sri Balan Marketplace,E-Commerce,Local,SPSR NELLORE,ANDHRA PRADESH,India,Active,Yes,Yes,10712.5,2013-03-07,2026-08-03 11:19:40.467827,,Enterprise System
MER00000008,Sri Kamdar Provision Store,Grocery,Local,UPPER SIANG,ARUNACHAL PRADESH,India,Active,Yes,Yes,1459.25,2015-07-18,2026-08-03 11:19:40.468832,,Enterprise System
MER00000009,Om Tiwari Corporation,Government,Local,KASARAGOD,KERALA,India,Active,Yes,Yes,2572.91,2021-10-29,2026-08-03 11:19:40.468832,,Enterprise System
MER00000010,National Bala Fuel Station,Fuel,Local,KANNAUJ,UTTAR PRADESH,India,Inactive,Yes,Yes,4104.91,2021-02-18,2026-08-03 11:19:40.469833,,Enterprise System
MER00000011,Sai Issac Hospital,Healthcare,Local,KABIRDHAM,CHHATTISGARH,India,Active,Yes,Yes,58874.01,2023-10-08,2026-08-03 11:19:40.470832,,Enterprise System
MER00000012,Prime Saini Marketplace,E-Commerce,Local,BALOD,CHHATTISGARH,India,Closed,Yes,Yes,2641.68,2015-05-03,2026-08-03 11:19:40.470832,,Enterprise System
MER00000013,New Sen Outlet,Retail,Local,KOREA,CHHATTISGARH,India,Active,Yes,Yes,6659.65,2021-08-11,2026-08-03 11:19:40.471832,,Enterprise System
MER00000014,Shree Mall Transport,Travel,Regional,Tirupathur,TAMIL NADU,India,Active,Yes,Yes,48431.17,2025-05-10,2026-08-03 11:19:40.472831,,Enterprise System
