branch_id,branch_name,city,state,country,zip_code,manager_employee_id,opened_date,created_at,updated_at,source_system
BR00000001,Y.S.R. City Branch,Y.S.R.,ANDHRA PRADESH,India,516002,,2018-05-05,2026-08-03 11:19:26.767528,,Enterprise System
BR00000002,CHENGALPATTU Main Branch,CHENGALPATTU,TAMIL NADU,India,603105,,2000-05-16,2026-08-03 11:19:26.768626,,Enterprise System
BR00000003,SUNDARGARH Commercial Branch,SUNDARGARH,ODISHA,India,770022,,1997-06-08,2026-08-03 11:19:26.769623,,Enterprise System
BR00000004,KOREA Corporate Branch,KOREA,CHHATTISGARH,India,497442,,2021-10-25,2026-08-03 11:19:26.770531,,Enterprise System
BR00000005,BHOPAL Corporate Branch,BHOPAL,MADHYA PRADESH,India,462023,,2005-12-10,2026-08-03 11:19:26.770531,,Enterprise System
BR00000006,SUNDARGARH Retail Branch,SUNDARGARH,ODISHA,India,770042,,2004-12-01,2026-08-03 11:19:26.771644,,Enterprise System
BR00000007,SPSR NELLORE City Branch,SPSR NELLORE,ANDHRA PRADESH,India,524341,,2004-03-06,2026-08-03 11:19:26.772535,,Enterprise System
BR00000008,UPPER SIANG City Branch,UPPER SIANG,ARUNACHAL PRADESH,India,791103,,2001-05-02,2026-08-03 11:19:26.773609,,Enterprise System
BR00000009,KASARAGOD Regional Office,KASARAGOD,KERALA,India,671541,,2021-08-23,2026-08-03 11:19:26.774605,,Enterprise System
BR00000010,KANNAUJ Main Branch,KANNAUJ,UTTAR PRADESH,India,209720,,2000-01-27,2026-08-03 11:19:26.775612,,Enterprise System
BR00000011,KABIRDHAM Main Branch,KABIRDHAM,CHHATTISGARH,India,491996,,2019-08-11,2026-08-03 11:19:26.775612,,Enterprise System
BR00000012,BALOD City Branch,BALOD,CHHATTISGARH,India,491223,,2021-10-14,2026-08-03 11:19:26.776624,,Enterprise System
BR00000013,KOREA Corporate Branch 338,KOREA,CHHATTISGARH,India,497553,,2015-02-21,2026-08-03 11:19:26.777609,,Enterprise System
BR00000014,Tirupathur Main Branch,Tirupathur,TAMIL NADU,India,635702,,1999-07-18,2026-08-03 11:19:26.777609,,Enterprise System
BR00000015,JALAUN Corporate Branch,JALAUN,UTTAR PRADESH,India,285205,,2016-09-04,2026-08-03 11:19:26.779046,,Enterprise System
BR00000016,UNA Regional Office,UNA,HIMACHAL PRADESH,India,174315,,2010-12-10,2026-08-03 11:19:26.779046,,Enterprise System
BR00000017,JAMNAGAR Corporate Branch,JAMNAGAR,GUJARAT,India,361220,,1997-08-31,2026-08-03 11:19:26.780462,,Enterprise System
