loan_id,customer_id,loan_type,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,disbursement_date,created_at,updated_at,source_system
LN00002501,CUST00005473,Personal Loan,467165.25,16.21,40,15194.05,Active,2018-08-23,2026-08-03 12:15:32.535624,,Loan Management System
LN00002502,CUST00005592,Personal Loan,1393877.88,16.0,39,46067.22,Pending,2016-07-01,2026-08-03 12:15:32.536657,,Loan Management System
LN00002503,CUST00005777,Home Loan,5828696.57,9.54,302,51005.15,Closed,2016-06-24,2026-08-03 12:15:32.536657,,Loan Management System
LN00002504,CUST00005103,Home Loan,1572573.83,12.58,129,22291.95,Closed,2020-05-02,2026-08-03 12:15:32.536657,,Loan Management System
LN00002505,CUST00005409,Business Loan,3172572.64,10.53,85,53114.78,Closed,2025-12-15,2026-08-03 12:15:32.536657,,Loan Management System
LN00002506,CUST00005447,Car Loan,2950053.22,16.52,41,94640.22,Active,2015-04-30,2026-08-03 12:15:32.536657,,Loan Management System
LN00002507,CUST00005224,Personal Loan,1064407.75,15.23,33,39680.77,Active,2019-02-19,2026-08-03 12:15:32.537666,,Loan Management System
LN00002508,CUST00005841,Personal Loan,1339073.75,6.59,59,26632.97,Active,2019-05-21,2026-08-03 12:15:32.537666,,Loan Management System
LN00002509,CUST00005838,Personal Loan,1322504.96,6.61,22,63995.02,Closed,2020-07-31,2026-08-03 12:15:32.537666,,Loan Management System
LN00002510,CUST00005292,Car Loan,1404349.87,12.43,65,29796.43,Closed,2019-02-15,2026-08-03 12:15:32.537666,,Loan Management System
LN00002511,CUST00005953,Education Loan,972547.67,9.92,126,12453.18,Active,2020-12-18,2026-08-03 12:15:32.537666,,Loan Management System
LN00002512,CUST00005545,Car Loan,2180159.66,13.87,12,195616.92,Active,2017-05-08,2026-08-03 12:15:32.538671,,Loan Management System
LN00002513,CUST00005698,Home Loan,3245883.85,15.55,142,50114.22,Defaulted,2025-08-20,2026-08-03 12:15:32.538671,,Loan Management System
LN00002514,CUST00005484,Home Loan,1369652.97,15.16,280,17833.7,Closed,2022-06-19,2026-08-03 12:15:32.538671,,Loan Management System
LN00002515,CUST00005239,Personal Loan,591622.48,12.78,17,38231.21,Written Off,2019-01-05,2026-08-03 12:15:32.538671,,Loan Management System
LN00002516,CUST00005671,Business Loan,11594582.14,11.18,32,420694.8,Written Off,2015-06-04,2026-08-03 12:15:32.538671,,Loan Management System
LN00002517,CUST00005661,Business Loan,17470686.23,13.71,73,354128.9,Active,2012-10-23,2026-08-03 12:15:32.538671,,Loan Management System
LN00002518,CUST00005827,Car Loan,2000267.92,10.06,31,73540.56,Closed,2021-02-16,2026-08-03 12:15:32.539663,,Loan Management System
LN00002519,CUST00005143,Personal Loan,1070242.22,6.73,17,66180.48,Active,2019-07-14,2026-08-03 12:15:32.539663,,Loan Management System
LN00002520,CUST00005248,Education Loan,2197765.45,6.86,80,34308.28,Active,2016-01-29,2026-08-03 12:15:32.539663,,Loan Management System
LN00002521,CUST00005513,Car Loan,796401.88,9.55,49,19691.34,Active,2014-12-08,2026-08-03 12:15:32.540254,,Loan Management System
LN00002522,CUST00005544,Business Loan,3524988.26,8.09,113,44671.11,Defaulted,2022-09-28,2026-08-03 12:15:32.540254,,Loan Management System
LN00002523,CUST00005844,Car Loan,2963275.04,9.72,23,141731.33,Closed,2019-08-22,2026-08-03 12:15:32.540254,,Loan Management System
LN00002524,CUST00005842,Car Loan,2799460.44,11.95,46,76154.63,Active,2022-03-11,2026-08-03 12:15:32.540254,,Loan Management System
LN00002525,CUST00005254,Home Loan,6429287.39,16.28,195,94016.03,Active,2023-05-31,2026-08-03 12:15:32.540254,,Loan Management System
LN00002526,CUST00005262,Home Loan,3721049.34,9.91,203,37859.82,Active,2012-05-13,2026-08-03 12:15:32.540254,,Loan Management System
LN00002527,CUST00005995,Education Loan,2979856.48,14.4,60,69955.54,Closed,2015-12-15,2026-08-03 12:15:32.541343,,Loan Management System
LN00002528,CUST00005135,Home Loan,6484614.27,15.97,350,87151.94,Closed,2013-07-04,2026-08-03 12:15:32.541343,,Loan Management System
LN00002529,CUST00005119,Car Loan,1372213.79,13.27,82,25539.07,Defaulted,2014-04-18,2026-08-03 12:15:32.541343,,Loan Management System
LN00002530,CUST00005459,Car Loan,2580472.15,9.62,17,162977.43,Active,2020-07-29,2026-08-03 12:15:32.541343,,Loan Management System
LN00002531,CUST00005139,Education Loan,3252558.35,8.34,158,33981.32,Active,2024-02-13,2026-08-03 12:15:32.541343,,Loan Management System
LN00002532,CUST00005323,Education Loan,2005018.1,14.04,100,34120.87,Pending,2026-03-12,2026-08-03 12:15:32.541343,,Loan Management System
LN00002533,CUST00005495,Car Loan,808027.27,13.94,30,32054.17,Active,2013-11-20,2026-08-03 12:15:32.542352,,Loan Management System
LN00002534,CUST00005236,Personal Loan,1495303.36,17.49,60,37557.24,Active,2025-02-26,2026-08-03 12:15:32.542352,,Loan Management System
LN00002535,CUST00005780,Personal Loan,1290921.24,15.7,28,55361.18,Active,2023-04-03,2026-08-03 12:15:32.542352,,Loan Management System
LN00002536,CUST00005280,Car Loan,2900245.85,15.19,23,146134.09,Active,2025-08-08,2026-08-03 12:15:32.542352,,Loan Management System
LN00002537,CUST00005985,Business Loan,1506625.83,8.82,84,24102.82,Defaulted,2013-09-15,2026-08-03 12:15:32.542352,,Loan Management System
LN00002538,CUST00005447,Personal Loan,1068494.89,8.36,53,24180.08,Active,2013-12-01,2026-08-03 12:15:32.543357,,Loan Management System
LN00002539,CUST00005646,Home Loan,2122995.87,14.85,81,41653.53,Closed,2023-04-30,2026-08-03 12:15:32.543357,,Loan Management System
LN00002540,CUST00005113,Gold Loan,2371819.92,11.22,12,209868.85,Closed,2017-07-20,2026-08-03 12:15:32.543357,,Loan Management System
LN00002541,CUST00005101,Education Loan,3641309.0,11.66,171,43754.9,Active,2017-11-02,2026-08-03 12:15:32.543357,,Loan Management System
LN00002542,CUST00005842,Car Loan,851625.21,13.61,65,18590.33,Closed,2021-05-26,2026-08-03 12:15:32.543357,,Loan Management System
LN00002543,CUST00005873,Personal Loan,732266.34,9.49,18,43806.02,Active,2022-09-07,2026-08-03 12:15:32.543357,,Loan Management System
LN00002544,CUST00005020,Car Loan,2506367.31,17.37,26,116361.64,Active,2017-10-27,2026-08-03 12:15:32.544358,,Loan Management System
LN00002545,CUST00005882,Personal Loan,465967.74,14.61,31,18136.05,Active,2022-02-03,2026-08-03 12:15:32.544358,,Loan Management System
LN00002546,CUST00005754,Car Loan,2290664.81,15.88,27,101450.9,Active,2015-07-06,2026-08-03 12:15:32.544358,,Loan Management System
LN00002547,CUST00005766,Car Loan,1509848.04,14.4,67,32923.11,Active,2026-05-29,2026-08-03 12:15:32.544358,,Loan Management System
LN00002548,CUST00005802,Gold Loan,1398403.63,10.74,19,80363.4,Active,2022-05-23,2026-08-03 12:15:32.544358,,Loan Management System
LN00002549,CUST00005457,Education Loan,1814392.54,17.35,42,57938.0,Active,2015-06-17,2026-08-03 12:15:32.544358,,Loan Management System
LN00002550,CUST00005830,Business Loan,11282010.26,8.46,31,406428.64,Active,2018-05-11,2026-08-03 12:15:32.545363,,Loan Management System
LN00002551,CUST00005106,Home Loan,2778526.46,16.52,139,44974.34,Active,2019-03-28,2026-08-03 12:15:32.545363,,Loan Management System
LN00002552,CUST00005757,Personal Loan,1023623.19,10.44,29,40089.67,Closed,2019-09-08,2026-08-03 12:15:32.545363,,Loan Management System
LN00002553,CUST00005131,Business Loan,18440395.7,11.58,68,371079.65,Active,2012-06-08,2026-08-03 12:15:32.545363,,Loan Management System
LN00002554,CUST00005486,Education Loan,536896.52,10.5,139,6691.24,Pending,2023-06-28,2026-08-03 12:15:32.545363,,Loan Management System
LN00002555,CUST00005526,Personal Loan,100712.91,12.65,13,8330.81,Defaulted,2014-03-10,2026-08-03 12:15:32.546288,,Loan Management System
LN00002556,CUST00005465,Personal Loan,590459.86,9.78,52,13976.09,Active,2024-07-03,2026-08-03 12:15:32.546288,,Loan Management System
LN00002557,CUST00005747,Home Loan,7718886.95,12.09,75,147147.11,Active,2011-12-10,2026-08-03 12:15:32.546288,,Loan Management System
LN00002558,CUST00005433,Personal Loan,243638.69,8.43,20,13100.42,Closed,2024-11-05,2026-08-03 12:15:32.546288,,Loan Management System
LN00002559,CUST00005026,Home Loan,6189425.39,9.26,186,62791.43,Active,2026-04-09,2026-08-03 12:15:32.546288,,Loan Management System
LN00002560,CUST00005257,Education Loan,3889052.6,8.07,124,46336.48,Closed,2017-04-11,2026-08-03 12:15:32.547825,,Loan Management System
LN00002561,CUST00005175,Business Loan,5038198.32,12.64,107,78725.46,Active,2015-11-05,2026-08-03 12:15:32.547825,,Loan Management System
LN00002562,CUST00005398,Car Loan,2652100.97,7.07,17,164407.72,Closed,2017-01-08,2026-08-03 12:15:32.547825,,Loan Management System
LN00002563,CUST00005372,Personal Loan,734275.47,13.11,41,22314.62,Active,2024-07-26,2026-08-03 12:15:32.547825,,Loan Management System
LN00002564,CUST00005740,Personal Loan,274925.8,10.67,29,10796.8,Closed,2016-03-10,2026-08-03 12:15:32.547825,,Loan Management System
LN00002565,CUST00005502,Home Loan,4814737.98,10.05,311,43580.51,Written Off,2011-09-22,2026-08-03 12:15:32.548832,,Loan Management System
LN00002566,CUST00005364,Gold Loan,1721791.38,14.35,31,66798.84,Active,2014-07-06,2026-08-03 12:15:32.548832,,Loan Management System
LN00002567,CUST00005890,Personal Loan,192228.04,11.68,33,6838.66,Pending,2024-02-13,2026-08-03 12:15:32.548832,,Loan Management System
LN00002568,CUST00005549,Home Loan,8958563.4,14.53,255,113758.95,Active,2018-11-26,2026-08-03 12:15:32.548832,,Loan Management System
LN00002569,CUST00005840,Business Loan,3178393.79,11.11,56,72992.64,Active,2012-11-01,2026-08-03 12:15:32.548832,,Loan Management System
LN00002570,CUST00005597,Gold Loan,1053696.8,15.56,26,48001.13,Active,2016-01-08,2026-08-03 12:15:32.548832,,Loan Management System
