application_id,customer_id,loan_id,application_date,requested_amount,approval_status,created_at,updated_at,source_system
APP00004001,CUST00005300,LN00002684,2022-01-21,9890262.09,Approved,2026-08-03 12:15:32.583261,,Loan Management System
APP00004002,CUST00005307,LN00002576,2014-03-19,2424029.74,Approved,2026-08-03 12:15:32.583261,,Loan Management System
APP00004003,CUST00005838,LN00002509,2020-07-11,1349323.76,Approved,2026-08-03 12:15:32.583261,,Loan Management System
APP00004004,CUST00005332,,2026-04-06,3373417.12,Rejected,2026-08-03 12:15:32.584306,,Loan Management System
APP00004005,CUST00005369,LN00002613,2025-11-14,5294835.46,Approved,2026-08-03 12:15:32.584306,,Loan Management System
APP00004006,CUST00005837,LN00002705,2018-01-30,5259541.88,Approved,2026-08-03 12:15:32.584306,,Loan Management System
APP00004007,CUST00005992,,2026-07-15,1257721.86,Cancelled,2026-08-03 12:15:32.584306,,Loan Management System
APP00004008,CUST00005731,,2024-03-04,4835795.05,Cancelled,2026-08-03 12:15:32.584306,,Loan Management System
APP00004009,CUST00005495,LN00002533,2013-11-09,747096.92,Approved,2026-08-03 12:15:32.584306,,Loan Management System
APP00004010,CUST00005415,,2019-11-24,8578237.72,Pending,2026-08-03 12:15:32.584306,,Loan Management System
APP00004011,CUST00005660,LN00002687,2023-05-21,2179146.84,Approved,2026-08-03 12:15:32.584306,,Loan Management System
APP00004012,CUST00005305,LN00002748,2016-01-03,1445408.27,Approved,2026-08-03 12:15:32.584306,,Loan Management System
APP00004013,CUST00005136,LN00002717,2014-03-26,3185906.76,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004014,CUST00005170,LN00002574,2025-05-14,7915172.98,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004015,CUST00005195,LN00002594,2014-10-04,1410342.97,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004016,CUST00005733,LN00002600,2022-05-13,1260517.22,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004017,CUST00005720,LN00002627,2026-03-11,859410.41,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004018,CUST00005786,LN00002696,2019-08-02,7335981.56,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004019,CUST00005257,LN00002560,2017-02-25,4338140.82,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004020,CUST00005671,LN00002679,2025-08-28,593202.2,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004021,CUST00005270,LN00002583,2020-04-28,581011.0,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004022,CUST00005719,,2019-10-12,1155222.35,Rejected,2026-08-03 12:15:32.585351,,Loan Management System
APP00004023,CUST00005321,,2022-10-05,11286433.95,Cancelled,2026-08-03 12:15:32.585351,,Loan Management System
APP00004024,CUST00005550,LN00002675,2024-12-17,1223507.05,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004025,CUST00005911,,2025-03-13,17467212.77,Rejected,2026-08-03 12:15:32.585351,,Loan Management System
APP00004026,CUST00005143,LN00002519,2019-05-18,1171093.43,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004027,CUST00005267,LN00002725,2013-02-14,1255039.56,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004028,CUST00005224,LN00002711,2023-09-26,289081.33,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004029,CUST00005771,LN00002708,2015-11-21,321706.51,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004030,CUST00005747,LN00002557,2011-12-08,7469267.65,Approved,2026-08-03 12:15:32.585351,,Loan Management System
APP00004031,CUST00005365,,2015-10-28,16606913.38,Rejected,2026-08-03 12:15:32.586359,,Loan Management System
APP00004032,CUST00005292,LN00002639,2026-05-15,1322768.42,Approved,2026-08-03 12:15:32.586359,,Loan Management System
APP00004033,CUST00005600,LN00002693,2021-10-06,796435.66,Approved,2026-08-03 12:15:32.586359,,Loan Management System
APP00004034,CUST00005991,LN00002726,2023-02-11,972498.49,Approved,2026-08-03 12:15:32.586359,,Loan Management System
