merchant_id,merchant_name,merchant_category,merchant_type,merchant_city,merchant_state,merchant_country,merchant_status,accepts_upi,accepts_cards,average_ticket_size,onboarding_date,created_at,updated_at,source_system
MER00001001,National Sachdeva Cafe,Restaurant,Local,HYDERABAD,TELANGANA,India,Active,Yes,Yes,3287.6,2016-07-01,2026-08-03 12:14:01.372331,,Enterprise System
MER00001002,Sri Mani Authority,Government,Local,PATHANAMTHITTA,KERALA,India,Active,Yes,Yes,13585.38,2020-05-02,2026-08-03 12:14:01.373413,,Enterprise System
MER00001003,New Kannan Supermarket,Grocery,Local,TENKASI,TAMIL NADU,India,Active,Yes,Yes,1268.71,2019-02-19,2026-08-03 12:14:01.373413,,Enterprise System
MER00001004,Royal Shanker Municipality,Government,Local,CHENGALPATTU,TAMIL NADU,India,Active,Yes,Yes,43296.54,2020-07-31,2026-08-03 12:14:01.374416,,Enterprise System
MER00001005,Modern Savant Stores,Grocery,Local,MURSHIDABAD,WEST BENGAL,India,Active,Yes,No,2804.53,2020-12-18,2026-08-03 12:14:01.375421,,Enterprise System
MER00001006,New Nori Provision Store,Grocery,Regional,SRIKAKULAM,ANDHRA PRADESH,India,Active,Yes,No,2182.12,2025-08-20,2026-08-03 12:14:01.375421,,Enterprise System
MER00001007,Modern Sarin Communications,Telecom,Local,JAJAPUR,ODISHA,India,Active,Yes,Yes,3594.56,2015-06-04,2026-08-03 12:14:01.376413,,Enterprise System
MER00001008,Shree Bora Multiplex,Entertainment,Local,SIMDEGA,JHARKHAND,India,Active,Yes,No,6973.61,2021-02-16,2026-08-03 12:14:01.376413,,Enterprise System
MER00001009,Sri Sibal Fashion,Retail,Regional,KODAGU,KARNATAKA,India,Active,Yes,Yes,24745.64,2016-01-29,2026-08-03 12:14:01.377416,,Enterprise System
MER00001010,Prime Hegde Online,E-Commerce,Local,VIZIANAGARAM,ANDHRA PRADESH,India,Active,Yes,Yes,14871.71,2022-09-28,2026-08-03 12:14:01.377416,,Enterprise System
MER00001011,Om Solanki Clinic,Healthcare,Regional,HOOGHLY,WEST BENGAL,India,Active,Yes,Yes,70657.92,2022-03-11,2026-08-03 12:14:01.378447,,Enterprise System
MER00001012,Sri Bath Traders,Retail,Local,PURBI CHAMPARAN,BIHAR,India,Active,Yes,No,6995.53,2015-12-15,2026-08-03 12:14:01.378447,,Enterprise System
MER00001013,Royal Chowdhury Academy,Education,Local,DHANBAD,JHARKHAND,India,Active,Yes,Yes,101791.91,2014-04-18,2026-08-03 12:14:01.378447,,Enterprise System
MER00001014,Om Wadhwa Kitchen,Restaurant,Local,THIRUVARUR,TAMIL NADU,India,Active,Yes,No,2502.93,2024-02-13,2026-08-03 12:14:01.380211,,Enterprise System
