collateral_id,loan_id,asset_type,asset_value,valuation_date,created_at,updated_at,source_system
COL00001618,LN00002703,Property,3024296.53,2024-07-09,2026-08-03 12:15:32.648073,,Loan Management System
COL00001619,LN00002666,Vehicle,339730.31,2014-07-03,2026-08-03 12:15:32.648073,,Loan Management System
COL00001620,LN00002620,Property,4300032.35,2018-11-27,2026-08-03 12:15:32.648073,,Loan Management System
COL00001621,LN00002749,Vehicle,4233414.72,2012-04-06,2026-08-03 12:15:32.648073,,Loan Management System
COL00001622,LN00002684,Property,10449062.61,2022-01-27,2026-08-03 12:15:32.648073,,Loan Management System
COL00001623,LN00002573,Property,7875668.25,2014-09-05,2026-08-03 12:15:32.648073,,Loan Management System
COL00001624,LN00002672,Vehicle,1258972.35,2013-10-08,2026-08-03 12:15:32.648073,,Loan Management System
COL00001625,LN00002676,Property,6869737.78,2016-07-06,2026-08-03 12:15:32.648073,,Loan Management System
COL00001626,LN00002548,Gold,1830135.73,2022-05-04,2026-08-03 12:15:32.648073,,Loan Management System
COL00001627,LN00002539,Property,2955485.63,2023-04-07,2026-08-03 12:15:32.648073,,Loan Management System
COL00001628,LN00002691,Property,9954768.4,2013-01-30,2026-08-03 12:15:32.648073,,Loan Management System
COL00001629,LN00002521,Vehicle,1175892.79,2014-11-27,2026-08-03 12:15:32.648073,,Loan Management System
COL00001630,LN00002574,Property,10371162.87,2025-06-16,2026-08-03 12:15:32.648073,,Loan Management System
COL00001631,LN00002705,Property,5225674.26,2018-01-29,2026-08-03 12:15:32.648073,,Loan Management System
COL00001632,LN00002729,Vehicle,2566835.21,2016-03-11,2026-08-03 12:15:32.648073,,Loan Management System
COL00001633,LN00002512,Vehicle,2650706.34,2017-04-18,2026-08-03 12:15:32.648073,,Loan Management System
COL00001634,LN00002524,Vehicle,3309302.43,2022-02-19,2026-08-03 12:15:32.648073,,Loan Management System
COL00001635,LN00002642,Property,1355725.5,2016-07-12,2026-08-03 12:15:32.648073,,Loan Management System
COL00001636,LN00002633,Property,4196812.97,2018-06-15,2026-08-03 12:15:32.648073,,Loan Management System
COL00001637,LN00002597,Vehicle,2155051.44,2021-10-15,2026-08-03 12:15:32.648073,,Loan Management System
COL00001638,LN00002624,Vehicle,3120452.72,2022-07-26,2026-08-03 12:15:32.648073,,Loan Management System
COL00001639,LN00002513,Property,4290560.38,2025-08-06,2026-08-03 12:15:32.648073,,Loan Management System
COL00001640,LN00002622,Vehicle,925841.88,2023-08-08,2026-08-03 12:15:32.648073,,Loan Management System
COL00001641,LN00002667,Property,17364068.35,2016-01-05,2026-08-03 12:15:32.648073,,Loan Management System
COL00001642,LN00002630,Vehicle,712695.84,2022-08-25,2026-08-03 12:15:32.648073,,Loan Management System
COL00001643,LN00002710,Property,3735411.5,2015-04-11,2026-08-03 12:15:32.648073,,Loan Management System
COL00001644,LN00002747,Property,12788077.06,2016-02-24,2026-08-03 12:15:32.648073,,Loan Management System
COL00001645,LN00002544,Vehicle,2827445.03,2017-10-04,2026-08-03 12:15:32.648073,,Loan Management System
COL00001646,LN00002605,Property,9670016.81,2012-08-18,2026-08-03 12:15:32.648073,,Loan Management System
COL00001647,LN00002659,Property,5108443.23,2014-08-05,2026-08-03 12:15:32.648073,,Loan Management System
COL00001648,LN00002734,Property,8726248.25,2020-09-09,2026-08-03 12:15:32.648073,,Loan Management System
COL00001649,LN00002722,Gold,1419283.62,2023-12-01,2026-08-03 12:15:32.648073,,Loan Management System
COL00001650,LN00002745,Property,1211576.22,2026-01-12,2026-08-03 12:15:32.648073,,Loan Management System
COL00001651,LN00002689,Vehicle,345257.93,2016-04-15,2026-08-03 12:15:32.648073,,Loan Management System
COL00001652,LN00002673,Property,10731646.73,2016-01-12,2026-08-03 12:15:32.648073,,Loan Management System
COL00001653,LN00002582,Property,11646033.55,2013-10-18,2026-08-03 12:15:32.648073,,Loan Management System
COL00001654,LN00002517,Property,21468621.43,2012-09-28,2026-08-03 12:15:32.648073,,Loan Management System
COL00001655,LN00002553,Property,27123239.82,2012-06-06,2026-08-03 12:15:32.648073,,Loan Management System
COL00001656,LN00002523,Vehicle,4162564.77,2019-08-16,2026-08-03 12:15:32.648073,,Loan Management System
COL00001657,LN00002581,Property,776665.63,2018-11-02,2026-08-03 12:15:32.648073,,Loan Management System
COL00001658,LN00002566,Gold,2366059.17,2014-06-24,2026-08-03 12:15:32.648073,,Loan Management System
COL00001659,LN00002669,Property,5227150.38,2022-11-05,2026-08-03 12:15:32.648073,,Loan Management System
COL00001660,LN00002657,Property,13524135.1,2011-12-03,2026-08-03 12:15:32.648073,,Loan Management System
COL00001661,LN00002577,Vehicle,254498.63,2021-04-13,2026-08-03 12:15:32.648073,,Loan Management System
COL00001662,LN00002650,Property,13855144.88,2016-11-06,2026-08-03 12:15:32.648073,,Loan Management System
COL00001663,LN00002505,Property,3182556.82,2025-11-28,2026-08-03 12:15:32.648073,,Loan Management System
COL00001664,LN00002674,Vehicle,2551721.49,2023-03-15,2026-08-03 12:15:32.648073,,Loan Management System
COL00001665,LN00002559,Property,8539142.34,2026-03-31,2026-08-03 12:15:32.649580,,Loan Management System
COL00001666,LN00002652,Property,1785479.83,2025-11-14,2026-08-03 12:15:32.649580,,Loan Management System
COL00001667,LN00002632,Vehicle,1579080.67,2022-10-06,2026-08-03 12:15:32.649580,,Loan Management System
COL00001668,LN00002742,Property,4614249.29,2017-11-14,2026-08-03 12:15:32.649580,,Loan Management System
COL00001669,LN00002530,Vehicle,2698253.15,2020-07-26,2026-08-03 12:15:32.649580,,Loan Management System
COL00001670,LN00002658,Property,2072506.57,2013-02-20,2026-08-03 12:15:32.649690,,Loan Management System
COL00001671,LN00002550,Property,11638880.99,2018-04-23,2026-08-03 12:15:32.649690,,Loan Management System
COL00001672,LN00002572,Property,732925.59,2011-09-07,2026-08-03 12:15:32.649690,,Loan Management System
COL00001673,LN00002604,Property,6889431.79,2022-11-19,2026-08-03 12:15:32.649690,,Loan Management System
COL00001674,LN00002699,Gold,3474414.74,2015-03-28,2026-08-03 12:15:32.649690,,Loan Management System
COL00001675,LN00002686,Gold,1836457.81,2023-03-12,2026-08-03 12:15:32.649690,,Loan Management System
COL00001676,LN00002688,Property,4445945.82,2020-01-17,2026-08-03 12:15:32.649690,,Loan Management System
COL00001677,LN00002506,Vehicle,3533254.16,2015-04-07,2026-08-03 12:15:32.649690,,Loan Management System
COL00001678,LN00002638,Vehicle,537097.94,2019-11-23,2026-08-03 12:15:32.649690,,Loan Management System
COL00001679,LN00002510,Vehicle,1587265.51,2019-02-05,2026-08-03 12:15:32.649690,,Loan Management System
COL00001680,LN00002701,Property,5408954.22,2020-06-27,2026-08-03 12:15:32.649690,,Loan Management System
COL00001681,LN00002677,Property,21023153.53,2015-08-04,2026-08-03 12:15:32.649690,,Loan Management System
COL00001682,LN00002739,Property,4849578.77,2021-08-03,2026-08-03 12:15:32.649690,,Loan Management System
COL00001683,LN00002607,Gold,328890.98,2016-06-22,2026-08-03 12:15:32.649690,,Loan Management System
COL00001684,LN00002692,Property,1377225.9,2021-02-11,2026-08-03 12:15:32.649690,,Loan Management System
COL00001685,LN00002740,Vehicle,3466648.47,2016-02-29,2026-08-03 12:15:32.649690,,Loan Management System
COL00001686,LN00002746,Property,6148877.72,2012-07-04,2026-08-03 12:15:32.649690,,Loan Management System
COL00001687,LN00002714,Vehicle,3599244.32,2016-07-26,2026-08-03 12:15:32.649690,,Loan Management System
COL00001688,LN00002614,Vehicle,3645716.04,2013-10-04,2026-08-03 12:15:32.649690,,Loan Management System
COL00001689,LN00002682,Gold,159892.06,2018-09-05,2026-08-03 12:15:32.649690,,Loan Management System
