rate_date,currency,currency_symbol,rate_to_inr,source
2026-08-02,US Dollar,$,95.3859,Exchange Rate API
2026-08-01,US Dollar,$,95.1429,Exchange Rate API
2026-07-31,US Dollar,$,95.5365,Exchange Rate API
2026-07-30,US Dollar,$,95.472,Exchange Rate API
2026-07-29,US Dollar,$,95.5049,Exchange Rate API
2026-07-28,US Dollar,$,95.5636,Exchange Rate API
2026-07-27,US Dollar,$,95.3789,Exchange Rate API
2026-07-26,US Dollar,$,95.5386,Exchange Rate API
2026-07-25,US Dollar,$,95.9972,Exchange Rate API
2026-07-24,US Dollar,$,95.5041,Exchange Rate API
2026-07-23,US Dollar,$,95.5739,Exchange Rate API
2026-07-22,US Dollar,$,95.3033,Exchange Rate API
2026-07-21,US Dollar,$,95.4813,Exchange Rate API
2026-07-20,US Dollar,$,95.6227,Exchange Rate API
2026-07-19,US Dollar,$,95.1014,Exchange Rate API
2026-07-18,US Dollar,$,94.6596,Exchange Rate API
2026-07-17,US Dollar,$,94.6918,Exchange Rate API
2026-07-16,US Dollar,$,95.0993,Exchange Rate API
2026-07-15,US Dollar,$,95.439,Exchange Rate API
2026-07-14,US Dollar,$,95.8099,Exchange Rate API
2026-07-13,US Dollar,$,95.3926,Exchange Rate API
2026-07-12,US Dollar,$,95.2215,Exchange Rate API
2026-07-11,US Dollar,$,95.3094,Exchange Rate API
2026-07-10,US Dollar,$,95.1567,Exchange Rate API
2026-07-09,US Dollar,$,94.8491,Exchange Rate API
2026-07-08,US Dollar,$,95.3295,Exchange Rate API
2026-07-07,US Dollar,$,95.4842,Exchange Rate API
2026-07-06,US Dollar,$,95.3673,Exchange Rate API
2026-07-05,US Dollar,$,95.3399,Exchange Rate API
2026-07-04,US Dollar,$,95.5682,Exchange Rate API
2026-07-03,US Dollar,$,95.8656,Exchange Rate API
2026-07-02,US Dollar,$,96.1872,Exchange Rate API
2026-07-01,US Dollar,$,95.9961,Exchange Rate API
2026-06-30,US Dollar,$,96.5348,Exchange Rate API
2026-06-29,US Dollar,$,96.8395,Exchange Rate API
2026-06-28,US Dollar,$,96.5729,Exchange Rate API
2026-06-27,US Dollar,$,96.1928,Exchange Rate API
2026-06-26,US Dollar,$,96.1121,Exchange Rate API
2026-06-25,US Dollar,$,95.836,Exchange Rate API
2026-06-24,US Dollar,$,96.2702,Exchange Rate API
2026-06-23,US Dollar,$,95.7033,Exchange Rate API
2026-06-22,US Dollar,$,96.0685,Exchange Rate API
2026-06-21,US Dollar,$,95.6787,Exchange Rate API
2026-06-20,US Dollar,$,96.0367,Exchange Rate API
2026-06-19,US Dollar,$,95.9592,Exchange Rate API
2026-06-18,US Dollar,$,95.5352,Exchange Rate API
2026-06-17,US Dollar,$,96.0916,Exchange Rate API
2026-06-16,US Dollar,$,95.9982,Exchange Rate API
2026-06-15,US Dollar,$,96.5492,Exchange Rate API
2026-06-14,US Dollar,$,96.3435,Exchange Rate API
2026-06-13,US Dollar,$,96.0403,Exchange Rate API
2026-06-12,US Dollar,$,96.104,Exchange Rate API
2026-06-11,US Dollar,$,95.7519,Exchange Rate API
2026-06-10,US Dollar,$,95.8405,Exchange Rate API
2026-06-09,US Dollar,$,96.0788,Exchange Rate API
2026-06-08,US Dollar,$,96.2416,Exchange Rate API
2026-06-07,US Dollar,$,95.6709,Exchange Rate API
2026-06-06,US Dollar,$,95.8638,Exchange Rate API
2026-06-05,US Dollar,$,95.5969,Exchange Rate API
2026-06-04,US Dollar,$,95.5434,Exchange Rate API
2026-06-03,US Dollar,$,95.9539,Exchange Rate API
2026-06-02,US Dollar,$,96.3761,Exchange Rate API
2026-06-01,US Dollar,$,95.9504,Exchange Rate API
2026-05-31,US Dollar,$,95.4801,Exchange Rate API
2026-05-30,US Dollar,$,95.7705,Exchange Rate API
2026-05-29,US Dollar,$,95.6917,Exchange Rate API
2026-05-28,US Dollar,$,95.9301,Exchange Rate API
